"subj" "item" "rt" "question.acc" "cond_rt" "int"
"9" 1 26 655 1 "HI" 1
"23" 1 12 343 1 "LI" -1
"37" 1 15 1178 1 "HI" 1
"51" 1 21 601 0 "HI" 1
"64" 1 48 1067 1 "LI" -1
"78" 1 2 591 1 "HI" 1
"92" 1 44 694 1 "HI" 1
"105" 1 34 616 1 "LI" -1
"118" 1 19 802 1 "HI" 1
"132" 1 55 1408 1 "HI" 1
"145" 1 40 1393 1 "LI" -1
"158" 1 31 487 1 "HI" 1
"171" 1 54 938 0 "LI" -1
"183" 1 60 809 1 "LI" -1
"196" 1 5 913 0 "LI" -1
"210" 1 37 1132 1 "HI" 1
"224" 1 35 906 1 "LI" -1
"237" 1 58 644 1 "LI" -1
"250" 1 4 737 1 "LI" -1
"263" 1 22 1917 1 "LI" -1
"277" 1 10 992 1 "LI" -1
"291" 1 33 619 1 "HI" 1
"304" 1 13 895 0 "HI" 1
"317" 1 17 418 1 "LI" -1
"331" 1 59 942 1 "LI" -1
"344" 1 32 891 1 "HI" 1
"358" 1 1 820 1 "HI" 1
"371" 1 38 845 1 "HI" 1
"384" 1 8 676 0 "HI" 1
"397" 1 43 433 1 "HI" 1
"410" 1 9 1146 1 "HI" 1
"423" 1 46 802 1 "LI" -1
"435" 1 49 623 1 "HI" 1
"449" 1 6 415 1 "LI" -1
"461" 1 45 1193 1 "HI" 1
"473" 1 11 1411 1 "LI" -1
"486" 1 25 831 1 "HI" 1
"499" 1 56 780 1 "HI" 1
"512" 1 36 1056 1 "LI" -1
"525" 1 23 1236 1 "LI" -1
"538" 1 53 648 1 "LI" -1
"550" 1 14 411 1 "HI" 1
"563" 1 7 580 1 "HI" 1
"576" 1 24 1709 1 "LI" -1
"589" 1 52 354 1 "LI" -1
"603" 1 47 555 1 "LI" -1
"617" 1 18 827 1 "LI" -1
"630" 1 41 820 1 "LI" -1
"643" 1 51 1504 1 "HI" 1
"656" 1 30 741 0 "LI" -1
"669" 1 16 809 1 "LI" -1
"683" 1 29 780 1 "LI" -1
"696" 1 27 641 0 "HI" 1
"710" 1 57 669 1 "HI" 1
"722" 1 20 669 1 "HI" 1
"736" 1 28 884 1 "LI" -1
"750" 1 3 1379 1 "HI" 1
"763" 1 50 479 1 "HI" 1
"776" 1 39 483 1 "HI" 1
"789" 2 16 562 1 "LI" -1
"803" 2 4 375 1 "LI" -1
"816" 2 56 357 0 "HI" 1
"829" 2 11 616 1 "LI" -1
"842" 2 35 386 0 "LI" -1
"855" 2 34 591 0 "LI" -1
"868" 2 42 422 1 "HI" 1
"881" 2 7 573 0 "HI" 1
"894" 2 40 393 0 "LI" -1
"907" 2 10 522 1 "LI" -1
"921" 2 28 458 1 "LI" -1
"935" 2 18 390 0 "HI" 1
"948" 2 57 516 1 "LI" -1
"960" 2 17 390 0 "LI" -1
"974" 2 26 318 0 "HI" 1
"988" 2 23 867 1 "LI" -1
"1001" 2 41 634 1 "LI" -1
"1014" 2 58 476 1 "LI" -1
"1027" 2 27 691 0 "LI" -1
"1041" 2 15 1100 0 "LI" -1
"1055" 2 59 393 0 "LI" -1
"1068" 2 20 336 0 "HI" 1
"1082" 2 55 361 0 "HI" 1
"1095" 2 25 304 0 "HI" 1
"1108" 2 24 472 1 "HI" 1
"1121" 2 50 379 0 "HI" 1
"1134" 2 30 576 0 "HI" 1
"1147" 2 60 329 1 "HI" 1
"1160" 2 8 354 0 "HI" 1
"1173" 2 47 458 0 "LI" -1
"1187" 2 48 408 1 "HI" 1
"1201" 2 36 343 1 "HI" 1
"1214" 2 54 472 1 "HI" 1
"1226" 2 2 583 0 "HI" 1
"1240" 2 3 1115 1 "LI" -1
"1253" 2 1 365 0 "HI" 1
"1266" 2 53 440 0 "LI" -1
"1278" 2 22 404 1 "LI" -1
"1292" 2 32 375 0 "HI" 1
"1306" 2 21 483 1 "LI" -1
"1319" 2 46 569 0 "LI" -1
"1331" 2 45 748 0 "LI" -1
"1343" 2 38 400 0 "HI" 1
"1356" 2 13 357 0 "HI" 1
"1369" 2 52 311 0 "LI" -1
"1383" 2 43 365 0 "HI" 1
"1396" 2 33 527 1 "LI" -1
"1409" 2 51 372 0 "LI" -1
"1422" 2 37 394 1 "HI" 1
"1436" 2 44 398 1 "HI" 1
"1449" 2 14 541 1 "HI" 1
"1462" 2 6 365 1 "HI" 1
"1474" 2 31 592 1 "HI" 1
"1487" 2 39 423 1 "LI" -1
"1500" 2 49 358 0 "HI" 1
"1514" 2 9 843 1 "LI" -1
"1527" 2 19 1246 1 "HI" 1
"1541" 2 29 419 1 "LI" -1
"1554" 2 5 480 0 "LI" -1
"1568" 2 12 412 1 "HI" 1
"1582" 3 43 1294 0 "HI" 1
"1595" 3 29 1481 0 "HI" 1
"1608" 3 32 1316 0 "LI" -1
"1622" 3 13 1380 0 "HI" 1
"1635" 3 25 803 0 "HI" 1
"1648" 3 28 935 0 "LI" -1
"1662" 3 48 1147 0 "HI" 1
"1676" 3 39 1057 0 "LI" -1
"1689" 3 19 616 1 "HI" 1
"1703" 3 5 494 1 "HI" 1
"1717" 3 55 1577 0 "HI" 1
"1730" 3 9 1208 1 "LI" -1
"1743" 3 42 397 0 "HI" 1
"1756" 3 58 2696 1 "LI" -1
"1769" 3 54 1968 1 "HI" 1
"1781" 3 36 1595 1 "HI" 1
"1794" 3 53 960 1 "HI" 1
"1806" 3 45 1660 0 "LI" -1
"1818" 3 7 541 0 "HI" 1
"1831" 3 1 1545 0 "HI" 1
"1844" 3 57 655 1 "LI" -1
"1856" 3 23 530 1 "HI" 1
"1869" 3 4 1154 1 "LI" -1
"1882" 3 41 1365 0 "HI" 1
"1895" 3 12 623 1 "HI" 1
"1909" 3 18 540 1 "HI" 1
"1922" 3 40 526 0 "LI" -1
"1935" 3 51 609 0 "LI" -1
"1948" 3 33 1631 1 "LI" -1
"1961" 3 14 1222 0 "LI" -1
"1974" 3 52 1340 1 "LI" -1
"1988" 3 17 813 0 "HI" 1
"2002" 3 11 659 0 "HI" 1
"2015" 3 49 2294 1 "HI" 1
"2029" 3 60 454 0 "HI" 1
"2042" 3 8 451 1 "LI" -1
"2055" 3 35 476 1 "HI" 1
"2068" 3 16 519 0 "LI" -1
"2082" 3 10 479 0 "LI" -1
