"subj" "item" "rt" "int" "expt"
"49" "dillonE11" "dillonE119" 2918 "low" "dillonE1"
"56" "dillonE11" "dillonE119" 1338 "low" "dillonE1"
"63" "dillonE11" "dillonE119" 424 "low" "dillonE1"
"70" "dillonE11" "dillonE119" 186 "low" "dillonE1"
"77" "dillonE11" "dillonE119" 195 "low" "dillonE1"
"84" "dillonE11" "dillonE119" 1218 "low" "dillonE1"
"175" "dillonE11" "dillonE135" 1720 "low" "dillonE1"
"182" "dillonE11" "dillonE135" 391 "low" "dillonE1"
"189" "dillonE11" "dillonE135" 1020 "low" "dillonE1"
"196" "dillonE11" "dillonE135" 566 "low" "dillonE1"
"203" "dillonE11" "dillonE135" 479 "low" "dillonE1"
"210" "dillonE11" "dillonE135" 1050 "low" "dillonE1"
"217" "dillonE11" "dillonE111" 1017 "low" "dillonE1"
"224" "dillonE11" "dillonE111" 431 "low" "dillonE1"
"231" "dillonE11" "dillonE111" 137 "low" "dillonE1"
"511" "dillonE11" "dillonE143" 2930 "low" "dillonE1"
"518" "dillonE11" "dillonE143" 1333 "low" "dillonE1"
"525" "dillonE11" "dillonE143" 4664 "low" "dillonE1"
"532" "dillonE11" "dillonE143" 1643 "low" "dillonE1"
"539" "dillonE11" "dillonE143" 2287 "low" "dillonE1"
"546" "dillonE11" "dillonE143" 1541 "low" "dillonE1"
"637" "dillonE11" "dillonE14" 1368 "high" "dillonE1"
"644" "dillonE11" "dillonE14" 445 "high" "dillonE1"
"651" "dillonE11" "dillonE14" 937 "high" "dillonE1"
"658" "dillonE11" "dillonE14" 1046 "high" "dillonE1"
"665" "dillonE11" "dillonE14" 730 "high" "dillonE1"
"672" "dillonE11" "dillonE14" 279 "high" "dillonE1"
"721" "dillonE11" "dillonE128" 2368 "high" "dillonE1"
"728" "dillonE11" "dillonE128" 364 "high" "dillonE1"
"735" "dillonE11" "dillonE128" 1688 "high" "dillonE1"
"742" "dillonE11" "dillonE128" 432 "high" "dillonE1"
"749" "dillonE11" "dillonE128" 1246 "high" "dillonE1"
"756" "dillonE11" "dillonE128" 1995 "high" "dillonE1"
"763" "dillonE11" "dillonE127" 2165 "low" "dillonE1"
"770" "dillonE11" "dillonE127" 520 "low" "dillonE1"
"777" "dillonE11" "dillonE127" 1061 "low" "dillonE1"
"784" "dillonE11" "dillonE127" 1259 "low" "dillonE1"
