"subject" "item" "condition" "NP1"
"12" 1 14 1 6.15909538849193
"25" 1 6 1 6.15909538849193
"38" 1 10 1 6.42486902390539
"50" 1 15 -1 5.99396142730657
"63" 1 13 1 6.52502965784346
"76" 1 5 1 6.68586094706836
"88" 1 7 -1 6.67582322163485
"100" 1 3 -1 6.58063913728495
"113" 1 9 1 6.21060007702465
"125" 1 12 -1 6.1779441140506
"138" 1 2 1 6.76272950693188
"150" 1 8 -1 6.15909538849193
"162" 1 4 -1 6.01126717440416
"174" 1 16 -1 6.10924758276437
"186" 1 11 -1 5.93224518744801
"199" 1 1 1 6.17586727010576
"212" 10 8 1 6.0330862217988
"224" 10 3 -1 6.03068526026126
"237" 10 4 1 6.0137151560428
"250" 10 16 1 6.71659477352098
"263" 10 12 1 6.30078579466324
"276" 10 13 1 6.61472560020376
"288" 10 2 -1 5.89164421182577
"301" 10 5 1 6.80793494369993
"313" 10 11 -1 5.79605775076537
"326" 10 1 1 6.05208916892442
"338" 10 15 -1 6.45204895443723
"350" 10 10 -1 5.51745289646471
"362" 10 14 -1 5.82008293035236
"374" 10 6 -1 5.74939298590825
"387" 10 9 1 6.12686918411419
"399" 10 7 -1 5.6937321388027
"412" 11 15 1 6.14203740558736
"424" 11 6 -1 6.4118182677099
"436" 11 9 -1 5.88887795833288
"448" 11 2 -1 6.0913098820777
"461" 11 4 1 6.10924758276437
"473" 11 10 -1 6.07073772800249
"486" 11 11 1 5.93224518744801
"499" 11 16 1 6.12468339089421
"512" 11 12 1 6.1779441140506
"524" 11 5 -1 6.07073772800249
"536" 11 14 -1 5.84643877505772
"549" 11 3 1 6.17586727010576
"561" 11 1 -1 6.37161184723186
"574" 11 8 1 7.39817409297047
"587" 11 7 1 6.05208916892442
"599" 11 13 -1 5.82008293035236
"611" 12 4 -1 6.53524127101366
"623" 12 9 -1 6.61472560020376
"636" 12 15 1 7.3004728142678
"649" 12 7 1 6.78105762593618
"662" 12 2 1 7.07749805356923
"674" 12 12 -1 6.75343791859778
"687" 12 6 1 6.91671502035361
"699" 12 13 -1 6.55819780281227
"711" 12 1 -1 6.67582322163485
"723" 12 16 -1 6.22455842927536
"735" 12 5 -1 6.47543271670409
"748" 12 11 1 6.12686918411419
"760" 12 8 -1 6.4377516497364
"773" 12 10 1 6.39859493453521
"786" 12 14 1 8.12710918534638
"799" 12 3 1 6.84268328223842
"1011" 13 12 -1 6.0330862217988
"1023" 13 3 -1 5.95324333428778
"1036" 13 10 1 6.67708346124714
"1049" 13 13 1 6.19440539110467
"1062" 13 2 1 6.05443934626937
"1074" 13 7 -1 5.88887795833288
"1087" 13 6 1 6.03548143252476
"1099" 13 15 -1 5.91350300563827
"1112" 13 5 1 6.12468339089421
"1125" 13 14 1 6.14203740558736
"1137" 13 4 -1 6.12468339089421
"1149" 13 8 -1 5.91350300563827
"1161" 13 16 -1 5.91350300563827
"1173" 13 11 -1 5.95583736946483
"1186" 13 9 1 7.20489251020467
"1199" 13 1 1 5.99396142730657
"1211" 14 11 -1 6.20859002609663
"1224" 14 12 1 5.72031177660741
"1237" 14 8 1 6.08904487544685
"1249" 14 15 -1 5.74620319054015
"1261" 14 6 -1 5.82304589548302
"1273" 14 2 -1 6.28599809450886
"1286" 14 5 1 6.07073772800249
"1298" 14 14 -1 6.10702288774225
"1311" 14 4 1 6.31716468674728
"1324" 14 13 1 6.08904487544685
"1337" 14 16 1 5.66642668811243
"1350" 14 9 1 5.84643877505772
"1362" 14 7 -1 6.08904487544685
"1375" 14 1 1 5.91079664404053
"1387" 14 3 -1 5.84354441703136
"1399" 14 10 -1 6.19236248947487
"1411" 15 1 -1 5.89164421182577
"1424" 15 15 1 6.8351845861473
"1437" 15 3 1 6.66568371778241
"1449" 15 9 -1 5.86929691313377
"1462" 15 7 1 7.31654817718298
"1475" 15 16 1 8.26384813136891
"1487" 15 5 -1 5.91350300563827
"1499" 15 13 -1 5.93224518744801
"1512" 15 8 1 7.35883089834235
"1524" 15 14 -1 5.95583736946483
"1537" 15 4 1 8.35443894011481
"1549" 15 10 -1 5.88887795833288
"1562" 15 11 1 8.21311069759668
"1575" 15 12 1 7.27378631784489
"1587" 15 6 -1 6.40025744530882
"1599" 15 2 -1 5.82304589548302
"1611" 16 13 -1 6.42648845745769
"1623" 16 12 -1 6.66568371778241
"1636" 16 2 1 5.93224518744801
"1649" 16 7 1 6.42486902390539
"1662" 16 14 1 6.5694814204143
"1675" 16 6 1 6.05208916892442
"1688" 16 11 1 6.81673588059497
"1700" 16 8 -1 6.55819780281227
"1712" 16 5 -1 6.0137151560428
"1724" 16 16 -1 5.93489419561959
"1736" 16 9 -1 5.88887795833288
"1748" 16 4 -1 6.54678541076052
"1761" 16 15 1 7.59739632021279
"1773" 16 1 -1 5.84354441703136
"1786" 16 10 1 6.0137151560428
"1799" 16 3 1 5.93224518744801
"1811" 17 4 -1 6.10702288774225
"1824" 17 5 1 6.53524127101366
"1836" 17 16 -1 6.73578001424233
"1849" 17 14 1 6.07073772800249
"1861" 17 3 -1 6.25575004175337
"1874" 17 9 1 6.71538338633468
"1886" 17 11 -1 6.25575004175337
"1898" 17 8 -1 6.3578422665081
"1910" 17 7 -1 7.26752542782817
"1923" 17 10 1 7.49164547360513
"1936" 17 13 1 6.5694814204143
"1949" 17 6 1 6.24027584517077
"1962" 17 2 1 6.7719355558396
"1974" 17 15 -1 6.75460409948796
"1987" 17 1 1 6.15909538849193
"1999" 17 12 -1 6.07073772800249
"2011" 18 6 -1 6.30078579466324
"2024" 18 5 1 6.12468339089421
"2037" 18 8 1 6.10702288774225
"2050" 18 12 1 6.76388490856244
"2063" 18 4 1 7.36391350140582
"2075" 18 10 -1 5.8664680569333
"2088" 18 1 1 6.08677472691231
"2100" 18 3 -1 6.15909538849193
"2113" 18 9 1 7.45066079621154
"2125" 18 7 -1 6.22455842927536
"2137" 18 11 -1 6.17586727010576
"2150" 18 13 1 6.0330862217988
"2163" 18 16 1 6.58202513889283
"2175" 18 15 -1 6.34388043412633
"2187" 18 2 -1 5.77144112313002
"2199" 18 14 -1 7.01481435127554
"2211" 19 9 -1 6.40025744530882
"2223" 19 10 -1 6.58063913728495
"2236" 19 3 1 6.22455842927536
"2248" 19 13 -1 5.95583736946483
"2261" 19 11 1 6.92461239604856
"2274" 19 4 1 7.13727843726039
"2286" 19 5 -1 6.12686918411419
"2298" 19 2 -1 5.82304589548302
"2310" 19 14 -1 5.84354441703136
"2323" 19 8 1 7.13727843726039
"2336" 19 15 1 7.5137092478397
"2349" 19 16 1 7.59739632021279
"2361" 19 1 -1 6.69579891705849
"2374" 19 7 1 8.28828304520769
"2387" 19 12 1 6.24027584517077
"2399" 19 6 -1 5.51745289646471
"2412" 2 4 1 5.79605775076537
"2425" 2 5 1 7.52240023138712
"2438" 2 12 1 5.88887795833288
"2450" 2 6 -1 5.79605775076537
"2462" 2 2 -1 5.93489419561959
"2474" 2 3 -1 6.69456205852109
"2487" 2 1 1 7.60539236481493
"2499" 2 14 -1 5.88887795833288
"2511" 2 15 -1 5.79909265446053
"2524" 2 9 1 6.37161184723186
"2536" 2 10 -1 5.48479693349065
"2549" 2 16 1 5.84354441703136
"2561" 2 7 -1 5.55295958492162
"2573" 2 11 -1 5.64190707093811
"2586" 2 8 1 5.4553211153577
"2599" 2 13 1 5.72031177660741
"2612" 20 11 1 6.12686918411419
"2625" 20 2 1 7.40367029001237
"2638" 20 14 1 6.22455842927536
"2650" 20 13 -1 6.4377516497364
"2663" 20 6 1 6.90073066404517
