"subj" "item" "type" "rt"
"94" 1 13 "obj-ext" 1561
"221" 1 6 "subj-ext" 959
"341" 1 5 "obj-ext" 582
"461" 1 9 "obj-ext" 294
"621" 1 14 "subj-ext" 438
"753" 1 4 "subj-ext" 286
"922" 1 8 "subj-ext" 438
"1054" 1 10 "subj-ext" 278
"1192" 1 2 "subj-ext" 542
"1342" 1 11 "obj-ext" 494
"1471" 1 7 "obj-ext" 270
"1591" 1 3 "obj-ext" 406
"1761" 1 16 "subj-ext" 374
"1891" 1 15 "obj-ext" 286
"2001" 1 1 "obj-ext" 246
"2155" 11 5 "obj-ext" 398
"2271" 11 13 "obj-ext" 1280
"2402" 11 6 "subj-ext" 5006
"2521" 11 11 "obj-ext" 373
"2651" 11 8 "subj-ext" 813
"2781" 11 2 "subj-ext" 603
"2933" 11 10 "subj-ext" 574
"3071" 11 9 "obj-ext" 349
"3231" 11 16 "subj-ext" 382
"3361" 11 3 "obj-ext" 366
"3531" 11 15 "obj-ext" 362
"3641" 11 4 "subj-ext" 430
"3811" 11 1 "obj-ext" 286
"3963" 11 14 "subj-ext" 270
"4091" 11 7 "obj-ext" 302
"4212" 12 11 "subj-ext" 686
"4341" 12 10 "obj-ext" 626
"4481" 12 4 "obj-ext" 1328
"4652" 12 16 "obj-ext" 580
"4781" 12 13 "subj-ext" 6217
"4911" 12 8 "obj-ext" 1019
"5041" 12 2 "obj-ext" 714
"5193" 12 5 "subj-ext" 1136
"5311" 12 15 "subj-ext" 642
"5424" 12 14 "obj-ext" 2308
"5553" 12 3 "subj-ext" 717
"5724" 12 6 "obj-ext" 641
"5841" 12 1 "subj-ext" 1361
"5991" 12 9 "subj-ext" 552
"6151" 12 7 "subj-ext" 742
"6271" 14 4 "obj-ext" 976
"6444" 14 1 "subj-ext" 582
"6591" 14 6 "obj-ext" 334
"6711" 14 13 "subj-ext" 1360
"6841" 14 11 "subj-ext" 422
"6975" 14 9 "subj-ext" 1128
"7131" 14 15 "subj-ext" 526
"7241" 14 2 "obj-ext" 502
"7391" 14 7 "subj-ext" 497
"7512" 14 5 "subj-ext" 695
"7631" 14 16 "obj-ext" 302
"7761" 14 14 "obj-ext" 1015
"7891" 14 10 "obj-ext" 350
"8031" 14 8 "obj-ext" 1641
"8161" 14 3 "subj-ext" 494
"8331" 15 9 "obj-ext" 551
"8491" 15 6 "subj-ext" 472
"8611" 15 3 "obj-ext" 616
"8781" 15 4 "subj-ext" 387
"8951" 15 7 "obj-ext" 385
"9071" 15 13 "obj-ext" 342
"9201" 15 1 "obj-ext" 238
"9351" 15 15 "obj-ext" 607
"9461" 15 11 "obj-ext" 263
"9591" 15 14 "subj-ext" 287
"9721" 15 5 "obj-ext" 678
"9841" 15 2 "subj-ext" 263
"9991" 15 10 "subj-ext" 313
"10131" 15 16 "subj-ext" 294
"10261" 15 8 "subj-ext" 252
"10391" 16 16 "obj-ext" 1373
"10521" 16 2 "obj-ext" 353
"10671" 16 13 "subj-ext" 335
"10801" 16 15 "subj-ext" 725
"10911" 16 5 "subj-ext" 355
"11031" 16 8 "obj-ext" 910
"11161" 16 4 "obj-ext" 395
"11331" 16 1 "subj-ext" 340
"11481" 16 9 "subj-ext" 335
"11641" 16 14 "obj-ext" 442
"11771" 16 11 "subj-ext" 1072
"11901" 16 3 "subj-ext" 350
"12071" 16 7 "subj-ext" 300
"12191" 16 10 "obj-ext" 433
"12331" 16 6 "obj-ext" 270
"12451" 17 16 "subj-ext" 597
"12581" 17 5 "obj-ext" 635
"12701" 17 6 "subj-ext" 420
"12821" 17 7 "obj-ext" 483
"12941" 17 2 "subj-ext" 391
"13091" 17 10 "subj-ext" 676
"13231" 17 3 "obj-ext" 878
"13401" 17 8 "subj-ext" 424
"13531" 17 14 "subj-ext" 337
"13661" 17 15 "obj-ext" 494
"13771" 17 9 "obj-ext" 531
"13931" 17 13 "obj-ext" 897
"14061" 17 1 "obj-ext" 417
"14211" 17 11 "obj-ext" 383
"14341" 17 4 "subj-ext" 345
"14511" 18 1 "subj-ext" 302
"14661" 18 11 "subj-ext" 318
"14791" 18 15 "subj-ext" 510
"14901" 18 5 "subj-ext" 4649
"15021" 18 3 "subj-ext" 1344
"15191" 18 8 "obj-ext" 639
"15321" 18 14 "obj-ext" 454
"15451" 18 10 "obj-ext" 310
"15591" 18 6 "obj-ext" 486
"15711" 18 4 "obj-ext" 310
"15881" 18 9 "subj-ext" 318
"16041" 18 16 "obj-ext" 294
"16171" 18 2 "obj-ext" 301
