"subject" "item" "condition" "rawRT"
"6" 1 1 "objgap" 320
"19" 1 2 "subjgap" 424
"34" 1 3 "objgap" 309
"49" 1 4 "subjgap" 274
"68" 1 5 "objgap" 333
"80" 1 6 "subjgap" 266
"100" 1 7 "objgap" 327
"112" 1 8 "subjgap" 279
"132" 1 9 "objgap" 342
"145" 1 10 "subjgap" 297
"161" 1 11 "objgap" 350
"172" 1 12 "subjgap" 357
"189" 1 13 "objgap" 342
"202" 1 14 "subjgap" 275
"223" 1 15 "objgap" 357
"235" 1 16 "subjgap" 312
"250" 2 1 "subjgap" 357
"267" 2 2 "objgap" 337
"278" 2 3 "subjgap" 315
"297" 2 4 "objgap" 338
"312" 2 5 "subjgap" 346
"328" 2 6 "objgap" 831
"344" 2 7 "subjgap" 636
"360" 2 8 "objgap" 336
"376" 2 9 "subjgap" 530
"393" 2 10 "objgap" 465
"405" 2 11 "subjgap" 275
"420" 2 12 "objgap" 298
"433" 2 13 "subjgap" 357
"450" 2 14 "objgap" 316
"467" 2 15 "subjgap" 375
"483" 2 16 "objgap" 434
"498" 3 1 "objgap" 209
"511" 3 2 "subjgap" 455
"526" 3 3 "objgap" 194
"541" 3 4 "subjgap" 496
"560" 3 5 "objgap" 306
"572" 3 6 "subjgap" 262
"592" 3 7 "objgap" 436
"604" 3 8 "subjgap" 298
"624" 3 9 "objgap" 198
"637" 3 10 "subjgap" 513
"653" 3 11 "objgap" 214
"664" 3 12 "subjgap" 321
"681" 3 13 "objgap" 220
"694" 3 14 "subjgap" 224
"715" 3 15 "objgap" 201
"727" 3 16 "subjgap" 205
"742" 4 1 "subjgap" 274
"759" 4 2 "objgap" 327
"770" 4 3 "subjgap" 278
"789" 4 4 "objgap" 401
"804" 4 5 "subjgap" 383
"820" 4 6 "objgap" 1231
"836" 4 7 "subjgap" 542
"852" 4 8 "objgap" 330
"868" 4 9 "subjgap" 292
"885" 4 10 "objgap" 939
"897" 4 11 "subjgap" 476
"912" 4 12 "objgap" 503
"925" 4 13 "subjgap" 374
"942" 4 14 "objgap" 371
"959" 4 15 "subjgap" 712
"975" 4 16 "objgap" 829
"990" 5 1 "objgap" 368
"1003" 5 2 "subjgap" 405
"1018" 5 3 "objgap" 283
"1033" 5 4 "subjgap" 303
"1052" 5 5 "objgap" 346
"1064" 5 6 "subjgap" 371
"1084" 5 7 "objgap" 569
"1096" 5 8 "subjgap" 380
"1116" 5 9 "objgap" 260
"1129" 5 10 "subjgap" 404
"1145" 5 11 "objgap" 786
"1156" 5 12 "subjgap" 428
"1173" 5 13 "objgap" 309
"1186" 5 14 "subjgap" 285
"1207" 5 15 "objgap" 245
"1219" 5 16 "subjgap" 327
"1234" 6 1 "subjgap" 296
"1251" 6 2 "objgap" 334
"1262" 6 3 "subjgap" 352
"1281" 6 4 "objgap" 293
"1296" 6 5 "subjgap" 307
"1312" 6 6 "objgap" 341
"1328" 6 7 "subjgap" 364
"1344" 6 8 "objgap" 267
"1360" 6 9 "subjgap" 293
"1377" 6 10 "objgap" 301
"1389" 6 11 "subjgap" 301
"1404" 6 12 "objgap" 417
"1417" 6 13 "subjgap" 324
"1434" 6 14 "objgap" 315
"1451" 6 15 "subjgap" 327
"1467" 6 16 "objgap" 374
"1482" 7 1 "objgap" 332
"1495" 7 2 "subjgap" 265
"1510" 7 3 "objgap" 291
"1525" 7 4 "subjgap" 254
"1544" 7 5 "objgap" 281
"1556" 7 6 "subjgap" 272
"1576" 7 7 "objgap" 373
"1588" 7 8 "subjgap" 318
"1608" 7 9 "objgap" 272
"1621" 7 10 "subjgap" 231
"1637" 7 11 "objgap" 295
"1648" 7 12 "subjgap" 250
"1665" 7 13 "objgap" 325
"1678" 7 14 "subjgap" 224
"1699" 7 15 "objgap" 336
"1711" 7 16 "subjgap" 313
"1726" 8 1 "subjgap" 374
"1743" 8 2 "objgap" 203
"1754" 8 3 "subjgap" 282
"1773" 8 4 "objgap" 270
"1788" 8 5 "subjgap" 255
"1804" 8 6 "objgap" 301
"1820" 8 7 "subjgap" 270
"1836" 8 8 "objgap" 218
"1852" 8 9 "subjgap" 408
"1869" 8 10 "objgap" 342
